studyid,fechaa1,r_a1,fechaa2,r_a2,fechaa3,r_a3,fechab1,r_b1,fechab2,r_b2,fechab3,r_b3,fechac1,r_c1,fechac2,r_c2,fechac3,r_c3,fechad1,r_d1,fechad2,r_d2,fechad3,r_d3,fechae1,r_e1,fechae2,r_e2,fechae3,r_e3,fechaf1,r_f1,fechaf2,r_f2,fechaf3,r_f3,fechag1,r_g1,fechag2,r_g2,fechag3,r_g3,fechah1,r_h1,fechah2,r_h2,fechah3,r_h3,fechai1,r_i1,fechai2,r_i2,fechai3,r_i3,fechaj1,r_j1,fechaj2,r_j2,fechaj3,r_j3,fechak1,r_k1,fechak2,r_k2,fechak3,r_k3,ms_a,h_ini,m_ini,p1,p2,p3_1,p3_2,p4a,p4b,p5a,p5b,p6,p7,p8a,p8b,p9a,p9b,p9c,p10a,p10b,p11,p12_1,p12_2,p12_3,p13_a,p13_b,p14,p15,p16,p17,p18,p19,p20,p21_a,p21_b,p22,p23,p24,p25,p26,p27_a,p27_b,p28,p29,p30_a,p30_b,p31_a,p31_b,p32,p33_1,p33_2,p33_3,p34_1,p34_2,p34_3,p35_a,p35_b,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,h_ter,m_ter,min,weight,rp1,d1lc394,rp67,rp3_1,encue,sup,edo,muni,ageb,nreg,nciudad,cd,loca,date1,cases,total,muni_r
819,21200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,4,12,45,2,4,2,2,2,2,2,3,12,1,3,2,2,1,2,8,4,3,2,3,3,8,9,4,1,1,1,2,2,2,3,1,1,3,1,1,1,4,4,3,13,47,9,12,9,3,1,1,2,1,1,2,8,9,3,1,1,2,1,1,4,3,2,4,1,1,17,1,2,7,7,7,2,7,2,7,7,1,1,1,1,5,7,1,13,4,13,7,22,.82,2,4,3,1,9300,1,9,7,347-3,5,1,7,1,21200,1,1,907
820,21200,5, ,0, ,0,21200,5, ,0, ,0,21200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,13,40,1,3,3,3,2,2,3,2,26,1,2,3,1,1,2,4,4,3,3,1,2,7,7,3,3,2,7,7,1,2,3,3,4,7,2,3,1,4,4,3,13,84,9,12,9,3,1,1,1,2,2,8,8,9,9,1,2,7,2,1,3,4,2,3,1,1,1,1,2,7,7,7,2,7,2,7,7,2,2,2,7,7,1,1,1,4,14,5,25,1.01,1,3,3,2,9300,1,9,7,347-3,5,1,7,1,21200,1,1,907
821,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,11,21,2,4,2,2,3,1,2,3,20,1,1,3,2,2,2,4,2,2,5,2,2,7,7,3,4,2,7,7,1,2,3,1,2,2,1,2,1,4,4,5,7,60,59,20,14,4,1,1,2,1,1,1,42,9,2,1,1,2,1,3,4,4,2,3,1,1,3,1,1,1,3,4,1,1,2,7,2,1,2,1,3,5,7,1,1,4,11,45,24,.71,2,4,3,1,9009,1,9,7,002-1,5,1,7,1,11200,1,1,907
822,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,12,17,1,4,2,2,2,2,2,2,11,1,8,8,2,2,2,4,8,2,2,2,2,7,7,2,2,1,1,2,1,2,4,1,4,7,2,3,1,4,4,3,12,8,9,20,9,8,1,1,2,1,1,8,11,9,2,1,1,1,2,3,4,4,1,3,1,1,11,1,2,7,7,7,1,2,1,2,7,5,2,1,3,5,7,1,13,4,12,39,22,1.24,1,4,3,1,9300,1,9,7,002-1,5,1,7,1,11200,1,1,907
823,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,11,59,1,4,2,1,2,1,3,3,9,3,2,1,2,1,2,8,2,2,2,1,3,11,32,3,1,1,1,2,1,1,2,1,2,1,1,2,4,4,4,3,12,18,9,54,46,3,1,1,2,1,2,1,16,36,1,1,2,7,2,4,2,2,1,2,1,1,1,1,2,7,7,7,2,7,1,1,2,1,1,1,5,4,7,1,1,4,12,20,21,1.52,1,4,3,1,9009,1,9,7,002-1,5,1,7,1,11200,1,1,907
824,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,11,27,1,3,2,2,2,2,2,3,20,1,1,2,1,2,2,4,4,1,3,3,3,11,9,3,2,2,7,7,2,2,2,1,2,2,1,2,1,4,3,3,13,84,9,81,9,3,1,2,1,1,1,1,8,9,1,1,2,7,2,3,3,3,1,2,1,1,1,2,2,7,7,7,2,7,2,7,7,1,2,2,7,7,2,1,1,3,11,49,22,1.24,1,3,2,1,9300,1,9,7,002-1,5,1,7,1,11200,1,1,907
825,11200,5, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,13,3,5,4,2,2,2,1,2,2,11,1,2,1,1,2,1,3,3,3,3,3,3,11,9,1,1,1,1,2,1,1,3,1,2,3,1,2,1,4,4,3,12,19,38,33,53,2,1,1,1,1,2,2,29,9,2,4,2,7,1,2,3,3,1,3,1,1,1,1,2,7,7,7,1,1,2,7,2,1,1,1,3,5,7,2,1,4,13,25,22,.97,4,4,3,1,9009,1,9,7,002-1,5,1,7,1,11200,1,1,907
826,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,13,51,1,4,2,2,2,2,2,2,45,3,2,1,2,2,2,3,4,2,2,2,2,7,7,1,1,1,2,7,1,2,4,2,2,2,1,2,2,4,4,2,7,32,60,33,20,1,1,1,2,2,2,1,11,9,3,1,2,7,2,3,4,4,1,3,1,1,5,1,2,7,7,7,2,7,1,1,2,5,2,2,7,7,2,1,1,4,14,11,20,1.24,1,4,3,1,9300,1,9,7,002-1,5,1,7,1,11200,1,1,907
827,11200,4, ,0, ,0,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,14,0,2,3,2,3,2,2,2,2,20,2,3,2,1,2,2,4,5,3,2,2,2,7,7,2,1,2,7,7,1,2,4,1,2,3,1,2,3,4,4,3,13,59,38,33,12,3,1,1,1,1,1,1,22,9,5,3,1,1,2,3,4,3,2,2,1,1,4,1,2,7,7,7,2,7,2,7,7,1,2,2,7,7,1,1,1,4,14,23,23,.71,2,3,3,1,9009,1,9,7,002-1,5,1,7,1,11200,1,1,907
828,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,14,44,2,3,2,2,3,2,8,2,20,3,2,8,2,2,2,4,8,2,3,3,2,7,7,2,3,1,1,3,2,2,3,2,2,2,1,2,1,4,4,3,13,47,9,12,9,2,1,1,1,2,2,1,8,9,2,1,1,1,2,3,2,4,1,2,1,1,1,2,2,7,7,7,2,7,2,7,7,1,2,2,7,7,1,1,13,4,15,9,25,.71,2,3,3,1,9300,1,9,7,002-1,5,1,7,1,11200,1,1,907
829,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,14,43,3,4,2,1,2,1,2,3,45,1,3,1,1,1,2,4,1,2,1,1,2,7,7,4,2,1,1,2,1,2,2,1,2,3,2,3,1,3,3,4,55,40,66,33,61,2,2,1,2,1,1,1,35,42,4,3,2,7,1,4,4,4,1,4,1,1,1,1,1,1,3,4,1,1,1,1,2,2,1,1,1,2,7,1,1,3,15,4,21,1.18,3,4,2,1,9009,1,9,7,002-1,5,1,7,1,11200,1,1,907
830,11200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,15,5,3,4,2,2,3,2,2,3,12,3,1,1,2,2,1,4,2,2,2,2,1,7,7,2,4,1,1,3,1,2,2,1,2,2,1,2,3,1,1,3,12,59,32,12,9,1,1,2,2,1,1,2,35,11,1,1,2,7,2,4,2,4,2,2,1,1,1,1,2,7,7,7,2,7,2,7,7,1,2,1,5,3,7,1,1,4,15,30,25,.88,3,4,3,1,9301,1,9,7,002-1,5,1,7,1,11200,1,1,907
831,301100,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,16,37,1,3,1,2,1,2,2,2,32,2,4,4,2,2,2,4,2,1,2,1,2,7,7,2,1,1,1,2,1,2,3,1,3,2,1,2,1,4,4,3,13,72,60,46,9,2,1,1,2,2,1,1,16,9,3,1,2,7,2,3,3,3,2,3,1,1,4,2,2,7,7,7,2,7,1,1,2,2,1,2,7,7,2,1,1,3,17,1,24,1.6,1,3,2,1,9009,1,9,7,011-0,5,1,7,1,301100,1,1,907
832,301100,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,16,50,4,4,2,1,3,1,2,3,38,1,3,3,2,2,2,4,1,4,2,1,4,9,9,3,1,1,1,3,1,2,3,1,3,2,1,4,1,4,4,11,7,38,9,20,54,3,1,1,2,1,2,1,28,9,2,1,2,7,2,3,4,3,2,4,1,1,11,2,2,7,7,7,1,2,1,2,7,3,1,1,3,5,7,1,1,3,17,21,31,1.02,4,4,2,1,9300,1,9,7,011-0,5,1,7,1,301100,1,1,907
833,301100,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,17,8,4,3,2,1,2,1,2,2,12,1,3,1,2,2,2,2,4,2,1,1,3,11,26,3,4,1,1,1,3,2,1,1,1,1,2,1,2,1,1,3,13,84,9,20,54,3,1,1,2,1,2,1,16,28,2,2,2,7,2,2,4,3,1,2,1,1,1,2,2,7,7,7,1,1,1,1,2,2,2,1,3,5,7,1,1,3,17,30,22,.9,4,3,2,1,9013,1,9,7,011-0,5,1,7,1,301100,1,1,907
834,301100,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,17,30,3,2,2,8,2,1,2,2,46,3,2,3,2,2,2,4,4,2,8,1,2,7,7,2,2,1,1,2,2,2,2,2,2,2,2,2,3,4,4,3,13,8,9,15,9,2,1,1,1,1,1,1,8,9,5,1,2,7,2,3,2,2,1,3,1,1,1,1,2,7,7,7,2,7,2,7,7,2,2,2,7,7,1,1,1,3,18,0,30,.92,3,2,2,1,9300,1,9,7,011-0,5,1,7,1,301100,1,1,907
835,301100,4,11200,5, ,0,61200,5, ,0, ,0,61200,5, ,0, ,0,61200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,15,48,5,3,2,2,1,1,2,2,12,3,1,2,2,2,2,4,5,2,2,1,4,11,9,3,1,1,2,7,1,2,4,1,1,1,1,3,1,2,3,3,12,78,41,27,9,1,1,2,2,1,1,1,11,12,2,3,2,7,1,2,3,2,1,3,1,1,11,1,2,7,7,7,2,7,1,1,2,5,1,2,7,7,3,1,1,2,16,31,43,1.02,4,3,2,1,9172,1,9,7,011-0,5,1,7,1,61200,1,1,907
836,61200,5, ,0, ,0,61200,4, ,0, ,0,61200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,17,2,4,3,2,1,2,2,1,3,19,1,1,1,2,1,1,4,5,3,1,1,3,17,11,1,1,1,1,2,3,8,2,1,2,3,2,3,1,2,2,3,14,78,39,46,20,4,1,2,2,1,2,1,11,16,2,1,2,7,1,11,3,2,1,1,1,1,7,1,2,7,7,7,1,2,1,2,7,3,1,1,1,2,7,1,1,2,17,39,37,1.02,4,3,2,1,9172,2,9,7,011-0,5,1,7,1,61200,1,1,907
837,301100,4,11200,4, ,0,51200,5, ,0, ,0,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,16,59,5,3,3,8,2,2,2,3,19,1,8,8,2,2,2,2,2,3,8,8,8,7,7,3,2,2,7,7,1,2,4,1,4,7,1,3,1,4,4,4,53,9,9,9,9,3,2,2,2,8,8,8,35,9,4,1,2,7,2,2,4,4,2,4,1,1,1,2,2,7,7,7,2,7,2,7,7,3,1,2,7,7,3,1,1,2,17,32,33,1.02,4,3,2,2,9014,1,9,7,011-0,5,1,7,1,51200,1,1,907
838,301100,4, ,0, ,0,301100,4,11200,5, ,0,11200,4,31200,5, ,0,51200,5, ,0, ,0,51200,6, ,0, ,0,61200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,15,45,5,4,4,1,3,1,2,8,20,1,2,2,2,2,2,1,4,4,3,1,4,17,9,4,1,1,1,4,1,2,4,1,3,3,1,3,1,4,4,12,41,40,9,20,81,4,2,2,2,1,2,2,35,9,4,3,2,7,2,2,4,4,1,4,1,1,1,1,1,1,4,2,2,7,1,1,2,2,2,1,1,2,7,1,1,2,16,25,41,.9,4,4,2,2,9014,1,9,7,011-0,5,1,7,1,61200,1,1,907
839,61200,5, ,0, ,0,61200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,15,22,2,4,2,2,2,2,2,2,38,3,1,1,1,1,2,4,5,2,2,2,2,7,7,2,2,1,1,2,1,2,2,1,2,3,1,2,1,4,4,11,7,38,32,53,33,2,1,1,2,1,9,1,36,9,2,2,1,2,2,1,2,2,1,2,1,1,1,1,2,7,7,7,1,1,1,1,1,1,2,1,3,2,7,1,1,2,15,49,27,.75,2,4,2,1,9013,2,9,7,011-0,5,1,7,1,61200,1,1,907
840,301100,4, ,0, ,0,11200,5, ,0, ,0,61200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,16,13,4,4,4,2,3,2,2,1,38,1,2,3,2,2,2,1,1,3,1,3,4,17,11,1,1,1,2,7,1,2,4,1,2,4,2,3,1,4,2,3,12,84,9,46,9,3,2,2,2,1,2,9,35,9,2,1,2,7,2,3,4,4,1,4,1,1,11,1,2,7,7,7,1,1,1,1,2,2,2,1,1,5,7,1,1,2,16,47,34,.9,4,4,2,2,9013,1,9,7,011-0,5,1,7,1,61200,1,1,907
841,51200,5, ,0, ,0,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,16,8,1,3,2,1,2,1,2,2,20,1,2,1,2,2,2,4,5,2,2,1,4,17,32,1,2,1,1,2,1,2,3,1,3,2,1,2,1,1,2,3,12,31,9,20,9,2,1,1,2,1,2,1,16,22,2,1,2,7,2,1,3,3,1,4,1,1,7,2,2,7,7,7,1,2,2,7,7,5,2,1,3,5,7,1,1,3,16,31,23,1.3,1,3,2,1,9014,2,9,7,018-2,5,1,7,1,51200,1,1,907
842,51200,5, ,0, ,0,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,16,19,4,2,2,2,2,2,1,1,19,1,8,1,1,1,1,4,4,1,1,1,1,7,7,1,1,1,1,1,1,2,1,1,1,1,1,1,3,4,4,3,12,59,90,20,9,1,1,2,2,1,1,1,42,9,1,1,1,2,1,2,2,3,2,3,1,1,11,1,2,7,7,7,2,7,2,7,7,5,1,2,7,7,4,2,1,3,16,54,35,1.02,4,2,2,1,9013,1,9,7,018-2,5,1,7,1,51200,1,1,907
843,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,16,55,5,4,9,2,2,2,2,2,20,1,3,8,2,2,2,4,4,3,3,1,3,26,9,2,8,1,1,3,8,2,2,1,3,2,1,2,1,4,4,3,12,84,9,81,20,3,2,2,2,2,8,8,11,9,9,1,2,7,2,3,2,9,1,2,2,1,5,1,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,2,11,3,17,28,33,.9,4,4,2,9,9172,2,9,7,018-2,5,1,7,1,51200,1,1,907
844,41200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,16,54,2,4,2,2,3,2,2,3,20,1,2,1,1,1,1,1,2,2,2,2,2,7,7,2,2,1,1,2,1,2,3,1,1,2,1,2,1,1,1,3,15,47,9,20,9,3,1,2,1,2,2,2,35,29,4,1,2,7,2,3,3,3,2,3,1,1,1,2,2,7,7,7,2,7,2,7,7,5,2,2,7,7,4,1,1,3,17,21,27,.75,2,4,2,1,9014,2,9,7,018-2,5,1,7,1,41200,1,1,907
845,41200,3,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,17,21,5,3,2,8,3,8,8,8,11,2,8,4,8,8,2,4,5,3,5,3,3,11,9,3,2,2,7,7,1,2,3,1,3,4,1,3,1,4,4,3,12,46,40,11,27,3,1,1,2,1,1,8,11,9,5,1,1,2,2,12,3,9,2,4,1,1,11,1,2,7,7,7,2,7,2,7,7,3,2,2,7,7,1,1,1,3,17,58,37,.9,4,3,2,1,9013,2,9,7,018-2,5,1,7,1,51200,1,1,907
846,301100,3, ,0, ,0,41200,3, ,0, ,0,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,18,34,3,3,2,2,3,2,2,2,21,3,2,2,2,2,2,2,2,3,3,8,8,7,7,4,3,2,7,7,1,2,4,1,3,2,1,2,1,4,4,3,13,38,66,46,9,3,1,8,2,1,2,2,8,9,2,1,1,1,2,1,3,4,1,4,1,1,1,1,2,7,7,7,2,7,2,7,7,1,2,2,7,7,1,1,1,3,19,5,31,.92,3,3,2,1,9014,1,9,7,018-2,5,1,7,1,51200,1,1,907
847,51200,5, ,0, ,0,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,18,21,2,3,2,8,2,2,8,3,19,1,8,8,2,2,2,4,4,3,3,2,4,17,9,2,2,2,7,7,2,2,4,1,4,7,1,2,2,4,4,3,12,40,9,20,9,4,1,2,1,2,2,8,9,9,2,1,1,2,2,12,4,3,1,4,1,1,7,1,2,7,7,7,2,7,2,7,7,5,1,1,4,3,7,2,1,3,18,43,22,1.06,2,3,2,1,9172,2,9,7,018-2,5,1,7,1,51200,1,1,907
848,51200,5, ,0, ,0,51200,5, ,0, ,0,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,18,42,3,3,2,1,2,2,2,2,12,1,2,1,2,1,1,1,5,3,1,1,3,32,9,1,1,1,1,2,3,9,3,1,2,3,2,3,1,4,4,3,15,40,9,20,9,1,1,1,2,2,2,1,16,9,1,4,2,7,2,4,2,2,1,4,2,1,11,1,2,7,7,7,2,7,2,7,7,5,1,1,5,3,7,1,1,3,19,11,29,1.23,3,3,2,1,9013,2,9,7,018-2,5,1,7,1,51200,1,1,907
849,51200,5, ,0, ,0,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,19,8,5,3,2,2,2,1,2,2,11,2,1,2,2,2,2,4,2,2,2,1,3,17,9,2,2,2,7,7,3,2,3,1,2,2,2,2,1,4,4,3,13,59,9,11,9,1,1,1,2,1,1,1,12,9,2,1,2,7,2,3,2,2,1,2,1,1,3,2,2,7,7,7,2,7,2,7,7,5,1,2,7,7,3,1,13,3,19,28,20,1.02,4,3,2,1,9172,2,9,7,018-2,5,1,7,1,51200,1,1,907
850,41200,3,51200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,19,33,1,4,2,8,3,8,8,2,20,2,8,8,2,2,2,2,5,4,5,1,2,7,7,3,2,1,1,5,1,2,8,1,2,3,1,4,1,4,4,3,13,18,9,20,46,3,1,1,2,1,1,1,35,11,2,1,2,7,1,2,4,3,2,3,2,1,11,1,2,7,7,7,1,1,2,7,2,5,1,1,5,4,7,2,4,3,19,54,21,1.6,1,4,2,1,9013,2,9,7,018-2,5,1,7,1,51200,1,1,907
851,31200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,1,16,50,5,2,2,8,2,8,8,2,11,1,1,4,2,2,2,4,1,4,4,2,3,11,9,2,2,2,7,7,1,2,3,1,4,7,1,3,1,4,4,4,55,84,9,33,11,3,2,2,2,1,2,2,35,9,3,1,2,7,2,3,3,3,2,2,1,1,3,1,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,1,1,4,17,11,21,.87,4,2,3,1,9009,1,9,7,156-6,5,1,7,1,31200,1,1,907
852,31200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,16,50,5,2,2,2,2,2,2,2,8,1,2,2,2,2,2,4,2,2,2,2,2,7,7,2,1,2,7,7,1,2,2,1,3,2,2,2,1,4,4,3,13,78,47,27,12,2,1,1,1,1,1,1,8,9,1,1,2,7,1,1,4,3,1,2,1,2,1,1,2,7,7,7,2,7,2,7,7,5,2,2,7,7,1,1,1,4,17,11,21,.87,4,2,3,1,9301,1,9,7,156-6,5,1,7,1,31200,1,1,907
853,31200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,17,18,2,3,2,2,2,2,2,2,11,2,2,2,1,1,2,4,5,2,2,2,2,7,7,4,3,1,1,5,1,2,2,1,1,2,1,2,2,4,4,3,13,47,9,75,9,4,1,1,2,1,2,9,8,9,1,1,2,7,1,4,2,2,2,2,1,1,3,1,2,7,7,7,2,7,1,2,7,5,2,2,7,7,1,1,1,4,17,40,22,.72,2,3,3,1,9009,1,9,7,156-6,5,1,7,1,31200,1,1,907
854,31200,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0,2,17,13,5,3,3,2,3,2,2,3,19,1,2,2,2,2,2,1,2,4,3,3,4,32,9,2,2,1,1,3,1,2,2,1,3,3,2,3,1,4,4,12,41,38,9,11,20,2,1,1,2,2,2,2,11,9,2,1,2,7,1,1,4,4,1,3,1,1,7,2,2,7,7,7,2,7,2,7,7,1,2,2,7,7,1,1,1,4,17,35,22,.87,4,3,3,2,9301,1,9,7,156-6,5,1,7,1,31200,1,1,907
